model,effective_from,input_per_mtok,output_per_mtok,cache_write_per_mtok,cache_read_per_mtok
claude-fable-5,2026-06-09,10,50,12.50,1.00
claude-opus-4-8,2026-05-28,5,25,6.25,0.50
claude-opus-4-7,2026-04-16,5,25,6.25,0.50
claude-opus-4-6,2026-02-05,5,25,6.25,0.50
claude-opus-4-5,2025-11-24,5,25,6.25,0.50
claude-opus-4-1,2025-08-05,15,75,18.75,1.50
claude-sonnet-5,2026-09-01,3,15,3.75,0.30
claude-sonnet-5,2026-06-24,2,10,2.50,0.20
claude-sonnet-4-6,2026-02-17,3,15,3.75,0.30
claude-sonnet-4-5,2025-09-29,3,15,3.75,0.30
claude-haiku-4-5,2025-10-15,1,5,1.25,0.10
claude-haiku-4-5-20251001,2025-10-15,1,5,1.25,0.10
claude-haiku-3-5,2024-11-04,0.80,4,1.00,0.08

